C1:1
C2:1
J2:1
J_BOTTOM1:1
J_LEFT1:1
J_RIGHT1:1
J_TOP1:1
L1:1
R1:1
R5:1
REF**:4
SCREEN1:1
SW1:1
U1:1
U2:1
U3:1
