Designator,Mid X,Mid Y,Rotation,Layer
C1,177.0,-63.95,270.0,bottom
C2,171.0,-63.95,90.0,bottom
J2,174.0,-84.5,90.0,top
J_BOTTOM1,174.000006,-95.35,90.0,top
J_LEFT1,153.15,-74.5,0.0,top
J_RIGHT1,194.85,-74.499994,0.0,top
J_TOP1,174.000016,-53.65,90.0,top
L1,174.0,-66.95,180.0,bottom
R1,156.65,-70.17,270.0,bottom
R5,179.6,-92.8,0.0,bottom
SCREEN1,175.325,-89.88,90.0,bottom
SW1,161.0,-74.5,0.0,bottom
U1,174.0,-63.95,270.0,bottom
U2,174.0,-74.5,315.0,bottom
U3,185.3,-74.7,270.0,bottom
